nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
SUDESTE;2020-01-09;50313.666;10041.157;19.9571
SUL;2020-01-09;9447.43;3431.549;36.3226
TELES PIRES;2020-01-09;875.144;463.243;52.9333
BELO MONTE;2020-01-10;27.275;5.741;21.0486
IGUACU;2020-01-10;10449.617;2130.883;20.392
MADEIRA;2020-01-10;316.575;96.874;30.6006
MANAUS-AMAPA;2020-01-10;776.495;194.106;24.9977
NORDESTE;2020-01-10;51602.071;19925.036;38.6129
NORTE;2020-01-10;14361.117;2111.525;14.7031
PARANA;2020-01-10;140228.485;28053.288;20.0054
PARANAPANEMA;2020-01-10;11833.214;3500.707;29.5837
SUDESTE;2020-01-10;50313.666;10067.811;20.0101
SUL;2020-01-10;9447.43;3397.778;35.9651
TELES PIRES;2020-01-10;875.144;485.882;55.5202
BELO MONTE;2020-01-11;27.275;6.155;22.5665
IGUACU;2020-01-11;10449.617;2085.844;19.961
MADEIRA;2020-01-11;316.575;100.489;31.7426
MANAUS-AMAPA;2020-01-11;776.495;193.737;24.9502
NORDESTE;2020-01-11;51602.071;19988.335;38.7355
NORTE;2020-01-11;14361.117;2139.812;14.9
PARANA;2020-01-11;140228.485;28356.415;20.2216
PARANAPANEMA;2020-01-11;11833.214;3527.462;29.8098
SUDESTE;2020-01-11;50313.666;10132.779;20.1392
SUL;2020-01-11;9447.43;3380.94;35.7869
TELES PIRES;2020-01-11;875.144;507.679;58.0109
BELO MONTE;2020-01-12;27.275;6.552;24.022
IGUACU;2020-01-12;10449.617;2109.298;20.1854
MADEIRA;2020-01-12;316.575;102.399;32.3459
MANAUS-AMAPA;2020-01-12;776.495;192.703;24.817
NORDESTE;2020-01-12;51602.071;20073.967;38.9015
NORTE;2020-01-12;14361.117;2182.045;15.1941
PARANA;2020-01-12;140228.485;28777.648;20.522
PARANAPANEMA;2020-01-12;11833.214;3592.854;30.3625
SUDESTE;2020-01-12;50313.666;10195.8;20.2645
SUL;2020-01-12;9447.43;3411.454;36.1099
TELES PIRES;2020-01-12;875.144;530.396;60.6067
BELO MONTE;2020-01-13;27.275;6.864;25.1659
IGUACU;2020-01-13;10449.617;2072.906;19.8371
MADEIRA;2020-01-13;316.575;101.435;32.0414
MANAUS-AMAPA;2020-01-13;776.495;191.67;24.684
NORDESTE;2020-01-13;51602.071;20092.379;38.9372
NORTE;2020-01-13;14361.117;2207.377;15.3705
PARANA;2020-01-13;140228.485;28742.854;20.4972
PARANAPANEMA;2020-01-13;11833.214;3621.477;30.6043
SUDESTE;2020-01-13;50313.666;10223.789;20.3201
SUL;2020-01-13;9447.43;3430.777;36.3144
TELES PIRES;2020-01-13;875.144;552.267;63.1058
BELO MONTE;2020-01-14;27.275;6.958;25.5105
IGUACU;2020-01-14;10449.617;2044.428;19.5646
MADEIRA;2020-01-14;316.575;100.796;31.8395
MANAUS-AMAPA;2020-01-14;776.495;190.563;24.5414
NORDESTE;2020-01-14;51602.071;20104.197;38.9601
NORTE;2020-01-14;14361.117;2247.222;15.648
PARANA;2020-01-14;140228.485;28848.272;20.5723
PARANAPANEMA;2020-01-14;11833.214;3660.772;30.9364
SUDESTE;2020-01-14;50313.666;10283.435;20.4387
SUL;2020-01-14;9447.43;3446.149;36.4771
TELES PIRES;2020-01-14;875.144;573.196;65.4973
BELO MONTE;2020-01-15;27.275;7.022;25.7452
IGUACU;2020-01-15;10449.617;1984.469;18.9908
MADEIRA;2020-01-15;316.575;100.427;31.723
MANAUS-AMAPA;2020-01-15;776.495;189.53;24.4084
NORDESTE;2020-01-15;51602.071;20111.135;38.9735
NORTE;2020-01-15;14361.117;2280.636;15.8806
PARANA;2020-01-15;140228.485;28867.556;20.5861
PARANAPANEMA;2020-01-15;11833.214;3692.378;31.2035
SUDESTE;2020-01-15;50313.666;10313.95;20.4993
SUL;2020-01-15;9447.43;3443.208;36.446
TELES PIRES;2020-01-15;875.144;593.268;67.7909
BELO MONTE;2020-01-16;27.275;7.052;25.8552
IGUACU;2020-01-16;10449.617;1921.097;18.3844
MADEIRA;2020-01-16;316.575;102.832;32.4827
MANAUS-AMAPA;2020-01-16;776.495;188.497;24.2754
NORDESTE;2020-01-16;51602.071;20239.212;39.2217
NORTE;2020-01-16;14361.117;2299.387;16.0112
PARANA;2020-01-16;140228.485;28900.671;20.6097
PARANAPANEMA;2020-01-16;11833.214;3720.662;31.4425
SUDESTE;2020-01-16;50313.666;10321.673;20.5147
SUL;2020-01-16;9447.43;3439.117;36.4027
TELES PIRES;2020-01-16;875.144;613.369;70.0878
BELO MONTE;2020-01-17;27.275;7.052;25.8552
IGUACU;2020-01-17;10449.617;1903.783;18.2187
MADEIRA;2020-01-17;316.575;103.992;32.8491
MANAUS-AMAPA;2020-01-17;776.495;186.949;24.076
NORDESTE;2020-01-17;51602.071;20306.435;39.352
NORTE;2020-01-17;14361.117;2333.019;16.2454
PARANA;2020-01-17;140228.485;28954.72;20.6482
PARANAPANEMA;2020-01-17;11833.214;3747.051;31.6655
SUDESTE;2020-01-17;50313.666;10383.331;20.6372
SUL;2020-01-17;9447.43;3441.284;36.4256
TELES PIRES;2020-01-17;875.144;633.319;72.3674
BELO MONTE;2020-01-18;27.275;7.022;25.7452
IGUACU;2020-01-18;10449.617;1927.388;18.4446
MADEIRA;2020-01-18;316.575;103.819;32.7944
MANAUS-AMAPA;2020-01-18;776.495;187.465;24.1425
NORDESTE;2020-01-18;51602.071;20364.536;39.4646
NORTE;2020-01-18;14361.117;2393.338;16.6654
PARANA;2020-01-18;140228.485;29376.758;20.9492
PARANAPANEMA;2020-01-18;11833.214;3772.112;31.8773
SUDESTE;2020-01-18;50313.666;10429.737;20.7294
SUL;2020-01-18;9447.43;3453.095;36.5506
TELES PIRES;2020-01-18;875.144;652.136;74.5176
BELO MONTE;2020-01-19;27.275;6.989;25.6242
IGUACU;2020-01-19;10449.617;1966.414;18.818
MADEIRA;2020-01-19;316.575;108.557;34.2911
MANAUS-AMAPA;2020-01-19;776.495;188.202;24.2374
NORDESTE;2020-01-19;51602.071;20424.874;39.5815
NORTE;2020-01-19;14361.117;2462.307;17.1457
PARANA;2020-01-19;140228.485;29693.327;21.175
PARANAPANEMA;2020-01-19;11833.214;3804.892;32.1543
SUDESTE;2020-01-19;50313.666;10463.385;20.7963
SUL;2020-01-19;9447.43;3466.001;36.6872
TELES PIRES;2020-01-19;875.144;667.403;76.2621
BELO MONTE;2020-01-20;27.275;6.925;25.3896
IGUACU;2020-01-20;10449.617;1918.302;18.3576
MADEIRA;2020-01-20;316.575;112.669;35.59
MANAUS-AMAPA;2020-01-20;776.495;186.949;24.076
NORDESTE;2020-01-20;51602.071;20464.217;39.6577
NORTE;2020-01-20;14361.117;2494.276;17.3683
PARANA;2020-01-20;140228.485;29548.675;21.0718
PARANAPANEMA;2020-01-20;11833.214;3799.437;32.1082
SUDESTE;2020-01-20;50313.666;10493.5;20.8562
SUL;2020-01-20;9447.43;3442.415;36.4376
TELES PIRES;2020-01-20;875.144;679.198;77.6099
BELO MONTE;2020-01-21;27.275;6.864;25.1659
IGUACU;2020-01-21;10449.617;1866.992;17.8666
MADEIRA;2020-01-21;316.575;117.147;37.0045
MANAUS-AMAPA;2020-01-21;776.495;184.813;23.8009
NORDESTE;2020-01-21;51602.071;20485.823;39.6996
NORTE;2020-01-21;14361.117;2524.554;17.5791
PARANA;2020-01-21;140228.485;29535.999;21.0628
PARANAPANEMA;2020-01-21;11833.214;3798.916;32.1038
SUDESTE;2020-01-21;50313.666;10505.966;20.8809
SUL;2020-01-21;9447.43;3419.411;36.1941
TELES PIRES;2020-01-21;875.144;692.076;79.0814
BELO MONTE;2020-01-22;27.275;6.801;24.9349
IGUACU;2020-01-22;10449.617;1859.823;17.798
MADEIRA;2020-01-22;316.575;119.507;37.75
MANAUS-AMAPA;2020-01-22;776.495;183.267;23.6018
NORDESTE;2020-01-22;51602.071;20499.583;39.7263
NORTE;2020-01-22;14361.117;2554.427;17.7871
PARANA;2020-01-22;140228.485;29704.083;21.1826
PARANAPANEMA;2020-01-22;11833.214;3803.983;32.1467
SUDESTE;2020-01-22;50313.666;10540.036;20.9487
SUL;2020-01-22;9447.43;3384.921;35.829
TELES PIRES;2020-01-22;875.144;705.054;80.5643
BELO MONTE;2020-01-23;27.275;6.737;24.7003
IGUACU;2020-01-23;10449.617;1856.985;17.7708
MADEIRA;2020-01-23;316.575;120.886;38.1856
MANAUS-AMAPA;2020-01-23;776.495;181.722;23.4029
NORDESTE;2020-01-23;51602.071;20653.353;40.0243
NORTE;2020-01-23;14361.117;2596.145;18.0776
PARANA;2020-01-23;140228.485;29917.121;21.3346
PARANAPANEMA;2020-01-23;11833.214;3806.893;32.1713
SUDESTE;2020-01-23;50313.666;10595.821;21.0595
SUL;2020-01-23;9447.43;3353.862;35.5003
TELES PIRES;2020-01-23;875.144;718.043;82.0486
BELO MONTE;2020-01-24;27.275;6.737;24.7003
IGUACU;2020-01-24;10449.617;1821.731;17.4335
MADEIRA;2020-01-24;316.575;125.169;39.5385
MANAUS-AMAPA;2020-01-24;776.495;180.104;23.1945
NORDESTE;2020-01-24;51602.071;20859.231;40.4232
NORTE;2020-01-24;14361.117;2633.989;18.3411
PARANA;2020-01-24;140228.485;30303.378;21.61
PARANAPANEMA;2020-01-24;11833.214;3802.116;32.1309
SUDESTE;2020-01-24;50313.666;10669.631;21.2062
SUL;2020-01-24;9447.43;3321.605;35.1588
TELES PIRES;2020-01-24;875.144;729.786;83.3904
BELO MONTE;2020-01-25;27.275;6.925;25.3896
IGUACU;2020-01-25;10449.617;1834.047;17.5513
MADEIRA;2020-01-25;316.575;128.959;40.7357
MANAUS-AMAPA;2020-01-25;776.495;179.884;23.1662
NORDESTE;2020-01-25;51602.071;21049.799;40.7925
NORTE;2020-01-25;14361.117;2690.115;18.7319
PARANA;2020-01-25;140228.485;30832.85;21.9876
PARANAPANEMA;2020-01-25;11833.214;3815.43;32.2434
SUDESTE;2020-01-25;50313.666;10793.171;21.4518
SUL;2020-01-25;9447.43;3308.678;35.022
TELES PIRES;2020-01-25;875.144;739.295;84.477
BELO MONTE;2020-01-26;27.275;7.149;26.2108
IGUACU;2020-01-26;10449.617;1833.92;17.5501
MADEIRA;2020-01-26;316.575;132.374;41.8144
MANAUS-AMAPA;2020-01-26;776.495;180.104;23.1945
NORDESTE;2020-01-26;51602.071;21277.364;41.2335
NORTE;2020-01-26;14361.117;2765.016;19.2535
PARANA;2020-01-26;140228.485;31797.496;22.6755
PARANAPANEMA;2020-01-26;11833.214;3821.851;32.2977
SUDESTE;2020-01-26;50313.666;10951.26;21.766
SUL;2020-01-26;9447.43;3297.726;34.9061
TELES PIRES;2020-01-26;875.144;747.372;85.3999
BELO MONTE;2020-01-27;27.275;7.375;27.0394
IGUACU;2020-01-27;10449.617;1767.75;16.9169
MADEIRA;2020-01-27;316.575;134.796;42.5795
MANAUS-AMAPA;2020-01-27;776.495;178.561;22.9958
NORDESTE;2020-01-27;51602.071;21657.258;41.9697
NORTE;2020-01-27;14361.117;2808.537;19.5565
PARANA;2020-01-27;140228.485;32246.406;22.9956
PARANAPANEMA;2020-01-27;11833.214;3805.897;32.1628
SUDESTE;2020-01-27;50313.666;11141.416;22.1439
SUL;2020-01-27;9447.43;3269.873;34.6112
TELES PIRES;2020-01-27;875.144;752.76;86.0156
BELO MONTE;2020-01-28;27.275;7.603;27.8753
IGUACU;2020-01-28;10449.617;1729.602;16.5518
MADEIRA;2020-01-28;316.575;139.287;43.9981
MANAUS-AMAPA;2020-01-28;776.495;176.798;22.7687
NORDESTE;2020-01-28;51602.071;21942.563;42.5226
NORTE;2020-01-28;14361.117;2865.443;19.9528
PARANA;2020-01-28;140228.485;32798.078;23.389
PARANAPANEMA;2020-01-28;11833.214;3795.491;32.0749
SUDESTE;2020-01-28;50313.666;11372.986;22.6042
SUL;2020-01-28;9447.43;3223.556;34.121
TELES PIRES;2020-01-28;875.144;755.544;86.3337
BELO MONTE;2020-01-29;27.275;7.802;28.6049
IGUACU;2020-01-29;10449.617;1675.218;16.0314
MADEIRA;2020-01-29;316.575;142.468;45.0029
MANAUS-AMAPA;2020-01-29;776.495;176.505;22.731
NORDESTE;2020-01-29;51602.071;22213.044;43.0468
NORTE;2020-01-29;14361.117;2931.612;20.4135
PARANA;2020-01-29;140228.485;33504.49;23.8928
PARANAPANEMA;2020-01-29;11833.214;3780.729;31.9501
SUDESTE;2020-01-29;50313.666;11568.628;22.993
SUL;2020-01-29;9447.43;3170.672;33.5612
TELES PIRES;2020-01-29;875.144;755.544;86.3337
BELO MONTE;2020-01-30;27.275;7.869;28.8506
IGUACU;2020-01-30;10449.617;1645.699;15.7489
MADEIRA;2020-01-30;316.575;142.13;44.8962
MANAUS-AMAPA;2020-01-30;776.495;176.211;22.6931
NORDESTE;2020-01-30;51602.071;22464.232;43.5336
NORTE;2020-01-30;14361.117;3017.148;21.0091
PARANA;2020-01-30;140228.485;34161.585;24.3614
PARANAPANEMA;2020-01-30;11833.214;3776.238;31.9122
SUDESTE;2020-01-30;50313.666;11756.65;23.3667
SUL;2020-01-30;9447.43;3131.927;33.1511
TELES PIRES;2020-01-30;875.144;755.544;86.3337
BELO MONTE;2020-01-31;27.275;7.869;28.8506
IGUACU;2020-01-31;10449.617;1636.215;15.6581
MADEIRA;2020-01-31;316.575;141.486;44.6927
MANAUS-AMAPA;2020-01-31;776.495;173.936;22.4001
NORDESTE;2020-01-31;51602.071;22711.888;44.0135
NORTE;2020-01-31;14361.117;3062.511;21.325
PARANA;2020-01-31;140228.485;34552.346;24.64
PARANAPANEMA;2020-01-31;11833.214;3750.683;31.6962
SUDESTE;2020-01-31;50313.666;11858.407;23.569
SUL;2020-01-31;9447.43;3090.388;32.7114
TELES PIRES;2020-01-31;875.144;755.544;86.3337
BELO MONTE;2020-02-01;27.275;7.802;28.6049
IGUACU;2020-02-01;10449.617;1647.393;15.7651
MADEIRA;2020-02-01;316.575;144.594;45.6745
MANAUS-AMAPA;2020-02-01;776.495;172.91;22.268
NORDESTE;2020-02-01;51602.071;22859.567;44.2997
NORTE;2020-02-01;14361.117;3099.814;21.5848
PARANA;2020-02-01;140228.485;34912.224;24.8967
PARANAPANEMA;2020-02-01;11833.214;3753.106;31.7167
SUDESTE;2020-02-01;50313.666;11922.169;23.6957
SUL;2020-02-01;9447.43;3070.362;32.4994
TELES PIRES;2020-02-01;875.144;754.197;86.1798
BELO MONTE;2020-02-02;27.275;7.737;28.3666
IGUACU;2020-02-02;10449.617;1680.144;16.0785
MADEIRA;2020-02-02;316.575;144.544;45.6587
MANAUS-AMAPA;2020-02-02;776.495;171.077;22.032
NORDESTE;2020-02-02;51602.071;23030.764;44.6315
NORTE;2020-02-02;14361.117;3173.427;22.0974
PARANA;2020-02-02;140228.485;35569.686;25.3655
PARANAPANEMA;2020-02-02;11833.214;3767.424;31.8377
SUDESTE;2020-02-02;50313.666;12029.544;23.9091
SUL;2020-02-02;9447.43;3056.607;32.3538
TELES PIRES;2020-02-02;875.144;751.413;85.8616
BELO MONTE;2020-02-03;27.275;7.836;28.7296
IGUACU;2020-02-03;10449.617;1651.764;15.8069
MADEIRA;2020-02-03;316.575;144.233;45.5605
MANAUS-AMAPA;2020-02-03;776.495;169.026;21.7678
NORDESTE;2020-02-03;51602.071;23270.392;45.0958
NORTE;2020-02-03;14361.117;3239.902;22.5602
PARANA;2020-02-03;140228.485;35666.6;25.4346
PARANAPANEMA;2020-02-03;11833.214;3785.417;31.9898
SUDESTE;2020-02-03;50313.666;12146.347;24.1412
SUL;2020-02-03;9447.43;3024.781;32.017
TELES PIRES;2020-02-03;875.144;750.066;85.7077
BELO MONTE;2020-02-04;27.275;7.936;29.0962
IGUACU;2020-02-04;10449.617;1648.226;15.7731
MADEIRA;2020-02-04;316.575;144.335;45.5927
MANAUS-AMAPA;2020-02-04;776.495;167.489;21.5699
NORDESTE;2020-02-04;51602.071;23474.096;45.4906
NORTE;2020-02-04;14361.117;3294.462;22.9402
PARANA;2020-02-04;140228.485;36039.009;25.7002
PARANAPANEMA;2020-02-04;11833.214;3813.474;32.2269
SUDESTE;2020-02-04;50313.666;12281.299;24.4095
SUL;2020-02-04;9447.43;3000.562;31.7606
TELES PIRES;2020-02-04;875.144;748.719;85.5538
BELO MONTE;2020-02-05;27.275;8.004;29.3456
IGUACU;2020-02-05;10449.617;1645.254;15.7446
MADEIRA;2020-02-05;316.575;146.103;46.1511
MANAUS-AMAPA;2020-02-05;776.495;166.246;21.4098
NORDESTE;2020-02-05;51602.071;23668.584;45.8675
NORTE;2020-02-05;14361.117;3361.137;23.4044
PARANA;2020-02-05;140228.485;36476.64;26.0123
PARANAPANEMA;2020-02-05;11833.214;3865.021;32.6625
SUDESTE;2020-02-05;50313.666;12377.413;24.6005
SUL;2020-02-05;9447.43;2982.985;31.5746
TELES PIRES;2020-02-05;875.144;748.719;85.5538
BELO MONTE;2020-02-06;27.275;8.071;29.5912
IGUACU;2020-02-06;10449.617;1635.991;15.656
MADEIRA;2020-02-06;316.575;151.897;47.9814
MANAUS-AMAPA;2020-02-06;776.495;164.929;21.2402
NORDESTE;2020-02-06;51602.071;24014.922;46.5387
NORTE;2020-02-06;14361.117;3428.626;23.8744
PARANA;2020-02-06;140228.485;37007.097;26.3906
PARANAPANEMA;2020-02-06;11833.214;3921.155;33.1369
SUDESTE;2020-02-06;50313.666;12484.901;24.8141
SUL;2020-02-06;9447.43;2963.347;31.3667
TELES PIRES;2020-02-06;875.144;751.413;85.8616
BELO MONTE;2020-02-07;27.275;8.139;29.8405
IGUACU;2020-02-07;10449.617;1613.782;15.4435
MADEIRA;2020-02-07;316.575;159.429;50.3606
