nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2018-01-01;27.275;3.476;12.7443
IGUACU;2018-01-01;9968.53;5900.139;59.1877
ITAIPU;2018-01-01;0.0;0.0;0.0
MADEIRA;2018-01-01;316.575;66.202;20.9119
MANAUS-AMAPA;2018-01-01;776.495;131.366;16.9178
NORDESTE;2018-01-01;51602.071;6659.575;12.9056
NORTE;2018-01-01;14361.117;3496.628;24.3479
PARANA;2018-01-01;140228.485;29962.945;21.3672
PARANAPANEMA;2018-01-01;11833.214;7670.322;64.8203
SUDESTE;2018-01-01;50313.666;8700.156;17.2918
SUL;2018-01-01;9447.43;5454.003;57.73
TELES PIRES;2018-01-01;0.0;0.0;0.0
BELO MONTE;2018-01-02;27.275;3.476;12.7443
IGUACU;2018-01-02;9968.53;6084.654;61.0386
ITAIPU;2018-01-02;0.0;0.0;0.0
MADEIRA;2018-01-02;316.575;71.456;22.5716
MANAUS-AMAPA;2018-01-02;776.495;130.14;16.7599
NORDESTE;2018-01-02;51602.071;6857.421;13.289
NORTE;2018-01-02;14361.117;3486.3;24.276
PARANA;2018-01-02;140228.485;30435.998;21.7046
PARANAPANEMA;2018-01-02;11833.214;7925.703;66.9784
SUDESTE;2018-01-02;50313.666;8715.133;17.3216
SUL;2018-01-02;9447.43;5482.117;58.0276
TELES PIRES;2018-01-02;0.0;0.0;0.0
BELO MONTE;2018-01-03;27.275;3.476;12.7443
IGUACU;2018-01-03;9968.53;6220.17;62.3981
ITAIPU;2018-01-03;0.0;0.0;0.0
MADEIRA;2018-01-03;316.575;76.737;24.2398
MANAUS-AMAPA;2018-01-03;776.495;128.841;16.5926
NORDESTE;2018-01-03;51602.071;6962.524;13.4927
NORTE;2018-01-03;14361.117;3443.337;23.9768
PARANA;2018-01-03;140228.485;30832.673;21.9875
PARANAPANEMA;2018-01-03;11833.214;8122.654;68.6428
SUDESTE;2018-01-03;50313.666;8728.583;17.3483
