nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2023-01-01;28.109;25.279;89.9321
IGUACU;2023-01-01;10324.672;10051.585;97.355
MADEIRA;2023-01-01;313.73;33.997;10.8364
MANAUS-AMAPA;2023-01-01;785.737;429.513;54.6637
NORDESTE;2023-01-01;51691.226;34991.329;67.693
NORTE;2023-01-01;14488.55;8984.382;62.0102
PARANA;2023-01-01;140595.976;70317.528;50.0139
PARANAPANEMA;2023-01-01;11832.754;9253.903;78.2058
SUDESTE;2023-01-01;50972.214;29585.777;58.043
SUL;2023-01-01;10134.571;7197.837;71.0226
TELES PIRES;2023-01-01;900.655;431.515;47.9112
BELO MONTE;2023-01-02;28.109;25.081;89.2276
IGUACU;2023-01-02;10324.672;10080.439;97.6345
MADEIRA;2023-01-02;313.73;33.997;10.8364
MANAUS-AMAPA;2023-01-02;785.737;432.8;55.082
NORDESTE;2023-01-02;51691.226;35361.771;68.4096
NORTE;2023-01-02;14488.55;9169.053;63.2848
PARANA;2023-01-02;140595.976;71199.492;50.6412
PARANAPANEMA;2023-01-02;11832.754;9237.303;78.0655
SUDESTE;2023-01-02;50972.214;29710.278;58.2872
SUL;2023-01-02;10134.571;7183.305;70.8792
TELES PIRES;2023-01-02;900.655;439.819;48.8332
BELO MONTE;2023-01-03;28.109;24.95;88.7616
IGUACU;2023-01-03;10324.672;10083.705;97.6661
MADEIRA;2023-01-03;313.73;34.901;11.1245
MANAUS-AMAPA;2023-01-03;785.737;436.09;55.5008
NORDESTE;2023-01-03;51691.226;35738.156;69.1378
NORTE;2023-01-03;14488.55;9324.004;64.3543
PARANA;2023-01-03;140595.976;72125.73;51.3
PARANAPANEMA;2023-01-03;11832.754;9188.34;77.6517
SUDESTE;2023-01-03;50972.214;29838.39;58.5385
SUL;2023-01-03;10134.571;7177.544;70.8224
TELES PIRES;2023-01-03;900.655;450.027;49.9666
BELO MONTE;2023-01-04;28.109;24.755;88.0679
IGUACU;2023-01-04;10324.672;10143.834;98.2485
MADEIRA;2023-01-04;313.73;35.753;11.3961
MANAUS-AMAPA;2023-01-04;785.737;439.383;55.9199
NORDESTE;2023-01-04;51691.226;36123.254;69.8828
NORTE;2023-01-04;14488.55;9468.613;65.3524
PARANA;2023-01-04;140595.976;73086.376;51.9833
PARANAPANEMA;2023-01-04;11832.754;9150.414;77.3312
