nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2017-01-01;22.0;5.0;22.73
ITAIPU;2017-01-01;0.0;0.0;0.0
MADEIRA;2017-01-01;290.0;81.0;27.93
NORDESTE;2017-01-01;51809.0;8495.0;16.4
NORTE;2017-01-01;15018.0;2842.0;18.92
PARANA;2017-01-01;152257.0;58021.0;38.11
SUDESTE;2017-01-01;50796.0;10440.0;20.55
SUL;2017-01-01;20100.0;12400.0;61.69
TELES PIRES;2017-01-01;0.0;0.0;0.0
BELO MONTE;2017-01-02;22.0;5.0;22.73
ITAIPU;2017-01-02;0.0;0.0;0.0
MADEIRA;2017-01-02;290.0;83.0;28.62
NORDESTE;2017-01-02;51809.0;8652.0;16.7
NORTE;2017-01-02;15018.0;2869.0;19.1
PARANA;2017-01-02;152257.0;57678.0;37.88
SUDESTE;2017-01-02;50796.0;10445.0;20.56
SUL;2017-01-02;20100.0;12488.0;62.13
TELES PIRES;2017-01-02;0.0;0.0;0.0
BELO MONTE;2017-01-03;22.0;5.0;22.73
ITAIPU;2017-01-03;0.0;0.0;0.0
MADEIRA;2017-01-03;290.0;84.0;28.97
NORDESTE;2017-01-03;51809.0;8715.0;16.82
NORTE;2017-01-03;15018.0;2865.0;19.08
PARANA;2017-01-03;152257.0;57231.0;37.59
SUDESTE;2017-01-03;50796.0;10432.0;20.54
SUL;2017-01-03;20100.0;12515.0;62.26
TELES PIRES;2017-01-03;0.0;0.0;0.0
BELO MONTE;2017-01-04;22.0;6.0;27.27
ITAIPU;2017-01-04;0.0;0.0;0.0
MADEIRA;2017-01-04;290.0;87.0;30.0
NORDESTE;2017-01-04;51809.0;8773.0;16.93
NORTE;2017-01-04;15018.0;2889.0;19.24
PARANA;2017-01-04;152257.0;57088.0;37.49
SUDESTE;2017-01-04;50796.0;10420.0;20.51
SUL;2017-01-04;20100.0;12509.0;62.23
TELES PIRES;2017-01-04;0.0;0.0;0.0
BELO MONTE;2017-01-05;22.0;6.0;27.27
ITAIPU;2017-01-05;0.0;0.0;0.0
MADEIRA;2017-01-05;290.0;91.0;31.38
NORDESTE;2017-01-05;51809.0;8783.0;16.95
NORTE;2017-01-05;15018.0;2924.0;19.47
PARANA;2017-01-05;152257.0;56735.0;37.26
SUDESTE;2017-01-05;50796.0;10412.0;20.5
SUL;2017-01-05;20100.0;12599.0;62.68
TELES PIRES;2017-01-05;0.0;0.0;0.0
BELO MONTE;2017-01-06;22.0;6.0;27.27
ITAIPU;2017-01-06;0.0;0.0;0.0
MADEIRA;2017-01-06;290.0;94.0;32.41
NORDESTE;2017-01-06;51809.0;8790.0;16.97
NORTE;2017-01-06;15018.0;2961.0;19.72
PARANA;2017-01-06;152257.0;56483.0;37.1
SUDESTE;2017-01-06;50796.0;10412.0;20.5
SUL;2017-01-06;20100.0;12957.0;64.46
TELES PIRES;2017-01-06;0.0;0.0;0.0
BELO MONTE;2017-01-07;22.0;6.0;27.27
ITAIPU;2017-01-07;0.0;0.0;0.0
MADEIRA;2017-01-07;290.0;97.0;33.45
NORDESTE;2017-01-07;51809.0;8798.0;16.98
NORTE;2017-01-07;15018.0;2997.0;19.96
PARANA;2017-01-07;152257.0;56472.0;37.09
SUDESTE;2017-01-07;50796.0;10407.0;20.49
SUL;2017-01-07;20100.0;13334.0;66.34
TELES PIRES;2017-01-07;0.0;0.0;0.0
BELO MONTE;2017-01-08;22.0;6.0;27.27
ITAIPU;2017-01-08;0.0;0.0;0.0
MADEIRA;2017-01-08;290.0;99.0;34.14
NORDESTE;2017-01-08;51809.0;8808.0;17.0
NORTE;2017-01-08;15018.0;3029.0;20.17
PARANA;2017-01-08;152257.0;56565.0;37.15
SUDESTE;2017-01-08;50796.0;10418.0;20.51
SUL;2017-01-08;20100.0;13647.0;67.9
TELES PIRES;2017-01-08;0.0;0.0;0.0
BELO MONTE;2017-01-09;22.0;6.0;27.27
ITAIPU;2017-01-09;0.0;0.0;0.0
MADEIRA;2017-01-09;290.0;102.0;35.17
NORDESTE;2017-01-09;51809.0;8802.0;16.99
NORTE;2017-01-09;15018.0;3018.0;20.1
PARANA;2017-01-09;152257.0;56206.0;36.92
SUDESTE;2017-01-09;50796.0;10416.0;20.51
SUL;2017-01-09;20100.0;13808.0;68.7
TELES PIRES;2017-01-09;0.0;0.0;0.0
BELO MONTE;2017-01-10;22.0;6.0;27.27
ITAIPU;2017-01-10;0.0;0.0;0.0
MADEIRA;2017-01-10;290.0;104.0;35.86
NORDESTE;2017-01-10;51809.0;8794.0;16.97
NORTE;2017-01-10;15018.0;3009.0;20.04
PARANA;2017-01-10;152257.0;56133.0;36.87
SUDESTE;2017-01-10;50796.0;10443.0;20.56
SUL;2017-01-10;20100.0;13875.0;69.03
TELES PIRES;2017-01-10;0.0;0.0;0.0
BELO MONTE;2017-01-11;22.0;5.0;22.73
ITAIPU;2017-01-11;0.0;0.0;0.0
MADEIRA;2017-01-11;290.0;107.0;36.9
NORDESTE;2017-01-11;51809.0;8786.0;16.96
NORTE;2017-01-11;15018.0;2994.0;19.94
PARANA;2017-01-11;152257.0;56023.0;36.8
SUDESTE;2017-01-11;50796.0;10469.0;20.61
SUL;2017-01-11;20100.0;13939.0;69.35
TELES PIRES;2017-01-11;0.0;0.0;0.0
BELO MONTE;2017-01-12;22.0;5.0;22.73
ITAIPU;2017-01-12;0.0;0.0;0.0
MADEIRA;2017-01-12;290.0;107.0;36.9
NORDESTE;2017-01-12;51809.0;8719.0;16.83
NORTE;2017-01-12;15018.0;2987.0;19.89
PARANA;2017-01-12;152257.0;56096.0;36.84
SUDESTE;2017-01-12;50796.0;10508.0;20.69
SUL;2017-01-12;20100.0;13987.0;69.59
TELES PIRES;2017-01-12;0.0;0.0;0.0
BELO MONTE;2017-01-13;22.0;5.0;22.73
ITAIPU;2017-01-13;0.0;0.0;0.0
MADEIRA;2017-01-13;290.0;107.0;36.9
NORDESTE;2017-01-13;51809.0;8670.0;16.73
NORTE;2017-01-13;15018.0;3009.0;20.04
PARANA;2017-01-13;152257.0;56274.0;36.96
SUDESTE;2017-01-13;50796.0;10548.0;20.77
SUL;2017-01-13;20100.0;13998.0;69.64
TELES PIRES;2017-01-13;0.0;0.0;0.0
BELO MONTE;2017-01-14;22.0;5.0;22.73
ITAIPU;2017-01-14;0.0;0.0;0.0
MADEIRA;2017-01-14;290.0;110.0;37.93
NORDESTE;2017-01-14;51809.0;8661.0;16.72
NORTE;2017-01-14;15018.0;3055.0;20.34
PARANA;2017-01-14;152257.0;56562.0;37.15
SUDESTE;2017-01-14;50796.0;10587.0;20.84
SUL;2017-01-14;20100.0;14073.0;70.01
TELES PIRES;2017-01-14;0.0;0.0;0.0
BELO MONTE;2017-01-15;22.0;5.0;22.73
ITAIPU;2017-01-15;0.0;0.0;0.0
MADEIRA;2017-01-15;290.0;113.0;38.97
NORDESTE;2017-01-15;51809.0;8684.0;16.76
NORTE;2017-01-15;15018.0;3108.0;20.7
PARANA;2017-01-15;152257.0;57061.0;37.48
SUDESTE;2017-01-15;50796.0;10617.0;20.9
SUL;2017-01-15;20100.0;14159.0;70.44
TELES PIRES;2017-01-15;0.0;0.0;0.0
BELO MONTE;2017-01-16;22.0;5.0;22.73
ITAIPU;2017-01-16;0.0;0.0;0.0
MADEIRA;2017-01-16;290.0;115.0;39.66
NORDESTE;2017-01-16;51809.0;8695.0;16.78
NORTE;2017-01-16;15018.0;3129.0;20.83
PARANA;2017-01-16;152257.0;57257.0;37.61
SUDESTE;2017-01-16;50796.0;10663.0;20.99
SUL;2017-01-16;20100.0;14141.0;70.35
TELES PIRES;2017-01-16;0.0;0.0;0.0
BELO MONTE;2017-01-17;22.0;4.0;18.18
ITAIPU;2017-01-17;0.0;0.0;0.0
MADEIRA;2017-01-17;290.0;116.0;40.0
NORDESTE;2017-01-17;51809.0;8684.0;16.76
NORTE;2017-01-17;15018.0;3129.0;20.83
PARANA;2017-01-17;152257.0;57501.0;37.77
SUDESTE;2017-01-17;50796.0;10718.0;21.1
