nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2019-01-01;27.275;16.544;60.6563
IGUACU;2019-01-01;9968.53;4919.465;49.35
ITAIPU;2019-01-01;0.0;0.0;0.0
MADEIRA;2019-01-01;316.575;183.533;57.9746
MANAUS-AMAPA;2019-01-01;776.495;290.515;37.4136
NORDESTE;2019-01-01;51602.071;20452.179;39.6344
NORTE;2019-01-01;14361.117;3864.66;26.9106
PARANA;2019-01-01;140228.485;41621.356;29.6811
PARANAPANEMA;2019-01-01;11833.214;3062.233;25.8783
SUDESTE;2019-01-01;50313.666;11225.555;22.3111
SUL;2019-01-01;9447.43;6668.469;70.585
TELES PIRES;2019-01-01;0.0;0.0;0.0
BELO MONTE;2019-01-02;27.275;16.289;59.7214
IGUACU;2019-01-02;9968.53;4853.631;48.6895
ITAIPU;2019-01-02;0.0;0.0;0.0
MADEIRA;2019-01-02;316.575;190.84;60.2827
MANAUS-AMAPA;2019-01-02;776.495;290.515;37.4136
NORDESTE;2019-01-02;51602.071;20537.651;39.8001
NORTE;2019-01-02;14361.117;3826.69;26.6462
PARANA;2019-01-02;140228.485;42005.747;29.9552
PARANAPANEMA;2019-01-02;11833.214;3043.585;25.7207
SUDESTE;2019-01-02;50313.666;11249.704;22.3591
SUL;2019-01-02;9447.43;6594.879;69.8061
TELES PIRES;2019-01-02;0.0;0.0;0.0
BELO MONTE;2019-01-03;27.275;16.034;58.7864
IGUACU;2019-01-03;9968.53;4761.641;47.7667
ITAIPU;2019-01-03;0.0;0.0;0.0
MADEIRA;2019-01-03;316.575;198.714;62.77
MANAUS-AMAPA;2019-01-03;776.495;290.515;37.4136
NORDESTE;2019-01-03;51602.071;20610.156;39.9406
NORTE;2019-01-03;14361.117;3763.331;26.205
PARANA;2019-01-03;140228.485;42164.053;30.0681
PARANAPANEMA;2019-01-03;11833.214;3021.269;25.5321
SUDESTE;2019-01-03;50313.666;11269.181;22.3979
SUL;2019-01-03;9447.43;6486.316;68.6569
TELES PIRES;2019-01-03;0.0;0.0;0.0
BELO MONTE;2019-01-04;27.275;15.783;57.8662
IGUACU;2019-01-04;9968.53;4679.286;46.9406
ITAIPU;2019-01-04;0.0;0.0;0.0
MADEIRA;2019-01-04;316.575;207.227;65.4591
MANAUS-AMAPA;2019-01-04;776.495;292.728;37.6986
NORDESTE;2019-01-04;51602.071;20687.849;40.0911
NORTE;2019-01-04;14361.117;3669.978;25.555
PARANA;2019-01-04;140228.485;42318.562;30.1783
PARANAPANEMA;2019-01-04;11833.214;2983.1;25.2096
SUDESTE;2019-01-04;50313.666;11313.665;22.4863
SUL;2019-01-04;9447.43;6391.817;67.6567
TELES PIRES;2019-01-04;0.0;0.0;0.0
BELO MONTE;2019-01-05;27.275;15.535;56.9569
IGUACU;2019-01-05;9968.53;4645.381;46.6005
ITAIPU;2019-01-05;0.0;0.0;0.0
MADEIRA;2019-01-05;316.575;216.085;68.2571
MANAUS-AMAPA;2019-01-05;776.495;294.865;37.9738
NORDESTE;2019-01-05;51602.071;20938.257;40.5764
NORTE;2019-01-05;14361.117;3683.005;25.6457
PARANA;2019-01-05;140228.485;42606.403;30.3836
PARANAPANEMA;2019-01-05;11833.214;2958.332;25.0002
SUDESTE;2019-01-05;50313.666;11397.944;22.6538
SUL;2019-01-05;9447.43;6353.691;67.2531
TELES PIRES;2019-01-05;0.0;0.0;0.0
BELO MONTE;2019-01-06;27.275;15.337;56.231
IGUACU;2019-01-06;9968.53;4638.535;46.5318
ITAIPU;2019-01-06;0.0;0.0;0.0
MADEIRA;2019-01-06;316.575;225.425;71.2075
MANAUS-AMAPA;2019-01-06;776.495;296.317;38.1608
NORDESTE;2019-01-06;51602.071;20997.833;40.6918
NORTE;2019-01-06;14361.117;3733.965;26.0005
PARANA;2019-01-06;140228.485;42973.02;30.645
PARANAPANEMA;2019-01-06;11833.214;2969.302;25.0929
SUDESTE;2019-01-06;50313.666;11463.78;22.7846
SUL;2019-01-06;9447.43;6357.315;67.2915
TELES PIRES;2019-01-06;0.0;0.0;0.0
BELO MONTE;2019-01-07;27.275;15.288;56.0513
IGUACU;2019-01-07;9968.53;4566.485;45.809
ITAIPU;2019-01-07;0.0;0.0;0.0
MADEIRA;2019-01-07;316.575;234.775;74.1609
MANAUS-AMAPA;2019-01-07;776.495;294.865;37.9738
NORDESTE;2019-01-07;51602.071;21028.423;40.7511
NORTE;2019-01-07;14361.117;3756.111;26.1547
PARANA;2019-01-07;140228.485;43051.468;30.7009
PARANAPANEMA;2019-01-07;11833.214;2978.136;25.1676
SUDESTE;2019-01-07;50313.666;11490.113;22.837
SUL;2019-01-07;9447.43;6290.687;66.5862
TELES PIRES;2019-01-07;0.0;0.0;0.0
BELO MONTE;2019-01-08;27.275;15.191;55.6957
IGUACU;2019-01-08;9968.53;4496.496;45.1069
ITAIPU;2019-01-08;0.0;0.0;0.0
MADEIRA;2019-01-08;316.575;243.69;76.977
MANAUS-AMAPA;2019-01-08;776.495;297.845;38.3576
NORDESTE;2019-01-08;51602.071;21054.871;40.8024
NORTE;2019-01-08;14361.117;3745.369;26.0799
PARANA;2019-01-08;140228.485;43131.767;30.7582
PARANAPANEMA;2019-01-08;11833.214;2986.528;25.2385
SUDESTE;2019-01-08;50313.666;11487.909;22.8326
SUL;2019-01-08;9447.43;6208.897;65.7205
TELES PIRES;2019-01-08;0.0;0.0;0.0
BELO MONTE;2019-01-09;27.275;15.142;55.516
IGUACU;2019-01-09;9968.53;4440.787;44.5481
ITAIPU;2019-01-09;0.0;0.0;0.0
MADEIRA;2019-01-09;316.575;252.038;79.614
MANAUS-AMAPA;2019-01-09;776.495;300.751;38.7319
NORDESTE;2019-01-09;51602.071;21078.324;40.8478
NORTE;2019-01-09;14361.117;3727.572;25.956
PARANA;2019-01-09;140228.485;43236.763;30.8331
PARANAPANEMA;2019-01-09;11833.214;2991.142;25.2775
SUDESTE;2019-01-09;50313.666;11471.528;22.8
SUL;2019-01-09;9447.43;6137.822;64.9682
TELES PIRES;2019-01-09;0.0;0.0;0.0
BELO MONTE;2019-01-10;27.275;15.191;55.6957
IGUACU;2019-01-10;9968.53;4364.199;43.7798
ITAIPU;2019-01-10;0.0;0.0;0.0
MADEIRA;2019-01-10;316.575;261.338;82.5517
MANAUS-AMAPA;2019-01-10;776.495;303.659;39.1064
NORDESTE;2019-01-10;51602.071;21145.164;40.9774
NORTE;2019-01-10;14361.117;3703.79;25.7904
PARANA;2019-01-10;140228.485;43354.926;30.9173
PARANAPANEMA;2019-01-10;11833.214;2985.937;25.2335
SUDESTE;2019-01-10;50313.666;11467.668;22.7924
SUL;2019-01-10;9447.43;6062.658;64.1726
TELES PIRES;2019-01-10;0.0;0.0;0.0
BELO MONTE;2019-01-11;27.275;15.288;56.0513
IGUACU;2019-01-11;9968.53;4300.043;43.1362
ITAIPU;2019-01-11;0.0;0.0;0.0
MADEIRA;2019-01-11;316.575;269.108;85.0061
MANAUS-AMAPA;2019-01-11;776.495;303.659;39.1064
NORDESTE;2019-01-11;51602.071;21195.909;41.0757
NORTE;2019-01-11;14361.117;3716.366;25.878
PARANA;2019-01-11;140228.485;43343.112;30.9089
PARANAPANEMA;2019-01-11;11833.214;2959.313;25.0085
SUDESTE;2019-01-11;50313.666;11465.635;22.7883
SUL;2019-01-11;9447.43;6001.797;63.5284
TELES PIRES;2019-01-11;0.0;0.0;0.0
BELO MONTE;2019-01-12;27.275;15.437;56.5976
IGUACU;2019-01-12;9968.53;4271.753;42.8524
ITAIPU;2019-01-12;0.0;0.0;0.0
MADEIRA;2019-01-12;316.575;275.007;86.8695
MANAUS-AMAPA;2019-01-12;776.495;305.114;39.2937
NORDESTE;2019-01-12;51602.071;21238.968;41.1591
NORTE;2019-01-12;14361.117;3736.748;26.0199
PARANA;2019-01-12;140228.485;43510.933;31.0286
PARANAPANEMA;2019-01-12;11833.214;2932.162;24.7791
SUDESTE;2019-01-12;50313.666;11474.775;22.8065
SUL;2019-01-12;9447.43;5983.778;63.3376
TELES PIRES;2019-01-12;0.0;0.0;0.0
BELO MONTE;2019-01-13;27.275;15.584;57.1366
IGUACU;2019-01-13;9968.53;4271.327;42.8481
ITAIPU;2019-01-13;0.0;0.0;0.0
MADEIRA;2019-01-13;316.575;284.326;89.8132
MANAUS-AMAPA;2019-01-13;776.495;306.57;39.4813
NORDESTE;2019-01-13;51602.071;21254.856;41.1899
NORTE;2019-01-13;14361.117;3771.526;26.2621
PARANA;2019-01-13;140228.485;43495.888;31.0179
PARANAPANEMA;2019-01-13;11833.214;2899.821;24.5058
SUDESTE;2019-01-13;50313.666;11483.567;22.824
SUL;2019-01-13;9447.43;6017.809;63.6978
TELES PIRES;2019-01-13;0.0;0.0;0.0
BELO MONTE;2019-01-14;27.275;15.835;58.0568
IGUACU;2019-01-14;9968.53;4190.501;42.0373
ITAIPU;2019-01-14;0.0;0.0;0.0
MADEIRA;2019-01-14;316.575;284.58;89.8934
MANAUS-AMAPA;2019-01-14;776.495;308.103;39.6787
NORDESTE;2019-01-14;51602.071;21304.954;41.287
NORTE;2019-01-14;14361.117;3820.584;26.6037
PARANA;2019-01-14;140228.485;43206.741;30.8117
