nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2021-01-01;28.109;22.451;79.8712
IGUACU;2021-01-01;10324.672;3120.841;30.227
MADEIRA;2021-01-01;313.73;15.239;4.8574
MANAUS-AMAPA;2021-01-01;785.737;107.575;13.691
NORDESTE;2021-01-01;52624.081;24099.347;45.7953
NORTE;2021-01-01;14488.55;4246.628;29.3102
PARANA;2021-01-01;140541.493;23488.922;16.7132
PARANAPANEMA;2021-01-01;11832.754;1424.636;12.0398
SUDESTE;2021-01-01;50972.214;13300.598;26.0938
SUL;2021-01-01;9332.658;2420.373;25.9344
TELES PIRES;2021-01-01;900.655;538.619;59.803
BELO MONTE;2021-01-02;28.109;22.451;79.8712
IGUACU;2021-01-02;10324.672;3165.069;30.6554
MADEIRA;2021-01-02;313.73;15.606;4.9743
MANAUS-AMAPA;2021-01-02;785.737;111.415;14.1797
NORDESTE;2021-01-02;52624.081;24168.408;45.9265
NORTE;2021-01-02;14488.55;4252.392;29.35
PARANA;2021-01-02;140541.493;23829.374;16.9554
PARANAPANEMA;2021-01-02;11832.754;1472.771;12.4466
SUDESTE;2021-01-02;50972.214;13331.519;26.1545
SUL;2021-01-02;9332.658;2440.793;26.1532
TELES PIRES;2021-01-02;900.655;550.724;61.1471
BELO MONTE;2021-01-03;28.109;22.451;79.8712
IGUACU;2021-01-03;10324.672;3212.528;31.1151
MADEIRA;2021-01-03;313.73;15.79;5.033
MANAUS-AMAPA;2021-01-03;785.737;114.607;14.5859
NORDESTE;2021-01-03;52624.081;24323.439;46.2211
NORTE;2021-01-03;14488.55;4330.235;29.8873
PARANA;2021-01-03;140541.493;24183.106;17.2071
PARANAPANEMA;2021-01-03;11832.754;1528.168;12.9147
SUDESTE;2021-01-03;50972.214;13135.133;25.7692
SUL;2021-01-03;9332.658;2451.198;26.2647
TELES PIRES;2021-01-03;900.655;561.016;62.2898
BELO MONTE;2021-01-04;28.109;22.388;79.6471
IGUACU;2021-01-04;10324.672;3225.612;31.2418
MADEIRA;2021-01-04;313.73;16.157;5.15
MANAUS-AMAPA;2021-01-04;785.737;117.004;14.891
NORDESTE;2021-01-04;52624.081;24642.684;46.8278
NORTE;2021-01-04;14488.55;4320.511;29.8202
PARANA;2021-01-04;140541.493;24377.992;17.3458
PARANAPANEMA;2021-01-04;11832.754;1563.805;13.2159
SUDESTE;2021-01-04;50972.214;13409.198;26.3069
SUL;2021-01-04;9332.658;2436.168;26.1037
TELES PIRES;2021-01-04;900.655;569.493;63.231
BELO MONTE;2021-01-05;28.109;22.326;79.4265
IGUACU;2021-01-05;10324.672;3232.924;31.3126
MADEIRA;2021-01-05;313.73;16.524;5.2669
MANAUS-AMAPA;2021-01-05;785.737;118.021;15.0204
NORDESTE;2021-01-05;52624.081;24784.602;47.0975
NORTE;2021-01-05;14488.55;4347.246;30.0047
PARANA;2021-01-05;140541.493;24615.883;17.515
PARANAPANEMA;2021-01-05;11832.754;1581.369;13.3643
SUDESTE;2021-01-05;50972.214;13420.267;26.3286
SUL;2021-01-05;9332.658;2421.327;25.9447
TELES PIRES;2021-01-05;900.655;568.581;63.1297
BELO MONTE;2021-01-06;28.109;22.263;79.2024
IGUACU;2021-01-06;10324.672;3247.336;31.4522
MADEIRA;2021-01-06;313.73;16.891;5.3839
MANAUS-AMAPA;2021-01-06;785.737;119.694;15.2333
NORDESTE;2021-01-06;52624.081;24890.395;47.2985
NORTE;2021-01-06;14488.55;4362.467;30.1098
PARANA;2021-01-06;140541.493;24670.943;17.5542
PARANAPANEMA;2021-01-06;11832.754;1593.533;13.4671
SUDESTE;2021-01-06;50972.214;13428.444;26.3446
SUL;2021-01-06;9332.658;2404.565;25.7651
TELES PIRES;2021-01-06;900.655;557.281;61.8751
BELO MONTE;2021-01-07;28.109;22.263;79.2024
IGUACU;2021-01-07;10324.672;3231.888;31.3026
MADEIRA;2021-01-07;313.73;17.259;5.5012
MANAUS-AMAPA;2021-01-07;785.737;121.659;15.4834
NORDESTE;2021-01-07;52624.081;25134.973;47.7633
NORTE;2021-01-07;14488.55;4359.602;30.09
PARANA;2021-01-07;140541.493;24805.559;17.65
PARANAPANEMA;2021-01-07;11832.754;1600.076;13.5224
SUDESTE;2021-01-07;50972.214;13439.745;26.3668
SUL;2021-01-07;9332.658;2367.815;25.3713
TELES PIRES;2021-01-07;900.655;545.17;60.5304
BELO MONTE;2021-01-08;28.109;22.263;79.2024
IGUACU;2021-01-08;10324.672;3213.789;31.1273
MADEIRA;2021-01-08;313.73;17.075;5.4426
MANAUS-AMAPA;2021-01-08;785.737;123.625;15.7336
NORDESTE;2021-01-08;52624.081;25265.685;48.0116
NORTE;2021-01-08;14488.55;4397.601;30.3523
PARANA;2021-01-08;140541.493;24947.924;17.7513
PARANAPANEMA;2021-01-08;11832.754;1604.045;13.556
SUDESTE;2021-01-08;50972.214;13456.706;26.4001
SUL;2021-01-08;9332.658;2341.772;25.0922
TELES PIRES;2021-01-08;900.655;535.799;59.4899
BELO MONTE;2021-01-09;28.109;22.263;79.2024
IGUACU;2021-01-09;10324.672;3182.246;30.8218
MADEIRA;2021-01-09;313.73;17.075;5.4426
MANAUS-AMAPA;2021-01-09;785.737;125.884;16.0211
NORDESTE;2021-01-09;52624.081;25429.991;48.3239
NORTE;2021-01-09;14488.55;4340.18;29.9559
