nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2022-01-01;28.109;27.564;98.0611
IGUACU;2022-01-01;10324.672;4467.252;43.2677
MADEIRA;2022-01-01;313.73;49.031;15.6284
MANAUS-AMAPA;2022-01-01;785.737;401.803;51.1371
NORDESTE;2022-01-01;51691.226;27581.797;53.3588
NORTE;2022-01-01;14488.55;8404.204;58.0058
PARANA;2022-01-01;140541.493;32126.184;22.8589
PARANAPANEMA;2022-01-01;11832.754;3520.26;29.7501
SUDESTE;2022-01-01;50972.214;17368.964;34.0754
SUL;2022-01-01;9332.658;3949.926;42.3237
TELES PIRES;2022-01-01;900.655;559.194;62.0875
BELO MONTE;2022-01-02;28.109;27.359;97.3318
IGUACU;2022-01-02;10324.672;4470.412;43.2983
MADEIRA;2022-01-02;313.73;49.835;15.8847
MANAUS-AMAPA;2022-01-02;785.737;400.212;50.9346
NORDESTE;2022-01-02;51691.226;28110.951;54.3824
NORTE;2022-01-02;14488.55;8857.545;61.1348
PARANA;2022-01-02;140541.493;32968.716;23.4584
PARANAPANEMA;2022-01-02;11832.754;3528.883;29.823
SUDESTE;2022-01-02;50972.214;17721.046;34.7661
SUL;2022-01-02;9332.658;3928.273;42.0917
TELES PIRES;2022-01-02;900.655;580.712;64.4766
BELO MONTE;2022-01-03;28.109;26.885;95.6455
IGUACU;2022-01-03;10324.672;4424.987;42.8584
MADEIRA;2022-01-03;313.73;47.168;15.0346
MANAUS-AMAPA;2022-01-03;785.737;400.212;50.9346
NORDESTE;2022-01-03;51691.226;28704.438;55.5306
NORTE;2022-01-03;14488.55;9245.297;63.8111
PARANA;2022-01-03;140541.493;33680.805;23.965
PARANAPANEMA;2022-01-03;11832.754;3526.912;29.8063
SUDESTE;2022-01-03;50972.214;18016.736;35.3462
SUL;2022-01-03;9332.658;3894.471;41.7295
TELES PIRES;2022-01-03;900.655;586.37;65.1048
BELO MONTE;2022-01-04;28.109;26.548;94.4466
IGUACU;2022-01-04;10324.672;4402.003;42.6358
MADEIRA;2022-01-04;313.73;44.954;14.3289
MANAUS-AMAPA;2022-01-04;785.737;400.53;50.9751
NORDESTE;2022-01-04;51691.226;29216.309;56.5208
NORTE;2022-01-04;14488.55;9631.414;66.476
PARANA;2022-01-04;140541.493;34499.294;24.5474
PARANAPANEMA;2022-01-04;11832.754;3526.377;29.8018
SUDESTE;2022-01-04;50972.214;18387.695;36.074
SUL;2022-01-04;9332.658;3859.809;41.3581
TELES PIRES;2022-01-04;900.655;591.026;65.6218
BELO MONTE;2022-01-05;28.109;26.548;94.4466
IGUACU;2022-01-05;10324.672;4378.164;42.4049
MADEIRA;2022-01-05;313.73;42.757;13.6286
MANAUS-AMAPA;2022-01-05;785.737;398.622;50.7322
NORDESTE;2022-01-05;51691.226;29728.903;57.5125
